File Name,Vertex,STL Average,DS Average
5_28_FULL.txt,1,1.8,1.39
5_28_FULL.txt,2,1.8,1.42
5_28_FULL.txt,3,1.78,1.41
5_28_FULL.txt,4,1.78,1.43
5_28_FULL.txt,5,1.76,1.38
5_28_FULL.txt,ALL,1.78,1.41
10_28_REG_3,1,5.45,4.21
10_28_REG_3,2,5.07,3.91
10_28_REG_3,3,4.9,3.7
10_28_REG_3,4,4.91,3.82
10_28_REG_3,5,4.39,3.29
10_28_REG_3,6,4.25,3.29
10_28_REG_3,7,4.14,3.14
10_28_REG_3,8,3.97,3.09
10_28_REG_3,9,3.99,3.08
10_28_REG_3,10,3.94,3.06
10_28_REG_3,ALL,4.5,3.46
5_28_REG_3,1,1.67,1.28
5_28_REG_3,2,1.59,1.23
5_28_REG_3,3,1.63,1.3
5_28_REG_3,4,1.67,1.3
5_28_REG_3,5,1.61,1.25
5_28_REG_3,ALL,1.64,1.27
10_28_FULL.txt,1,5.73,4.34
10_28_FULL.txt,2,5.41,4.08
10_28_FULL.txt,3,5.35,4.05
10_28_FULL.txt,4,5.05,3.91
10_28_FULL.txt,5,5.02,3.81
10_28_FULL.txt,6,5.07,9.99
10_28_FULL.txt,7,5.04,3.93
10_28_FULL.txt,8,5.13,3.9
10_28_FULL.txt,9,5.1,3.91
10_28_FULL.txt,10,5.06,3.85
10_28_FULL.txt,ALL,5.2,4.58
